mainid,type,isid,indate,inmonth,indays,title,chip,inreasoncode,inreason,class,classname,variety,color,area,sex,name,userTag,asylumnm,asylumtel,asylumaddr,note,photo,weburl,piclocalurl,endDay,createdate
17277,2,LAABG108012206,2019-01-22T00:00:00,2019-01,640,LAABG108012206,,13,動物救援,1,犬,混種狗,花,岡山區,母         ,LAABG108012206,LAABG,高雄市燕巢動物保護關愛園區,07-6051002,高雄市燕巢區師大路98號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/bc9f4b51-f1bf-4a60-8954-8fef688838a0_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=82127&AcceptNum=LAABG108012206&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\LAABG108012206.jpg,,2020-10-23 15:45:23.747
17278,2,108-E025D,2019-01-18T00:00:00,2019-01,644,108-E025D,990000000720302,138,政府捕捉,1,犬,混種狗,黑,古坑鄉,母         ,108-E025D,IAAAG,雲林縣流浪動物收容所,,,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/9e9d15be-dce0-4dbc-a12a-fa9c0789429b_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=81576&AcceptNum=108-E025D&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\108-E025D.jpg,2020/11/10,2020-10-23 15:45:23.950
17279,2,AAAHG1080115001,2019-01-15T00:00:00,2019-01,647,AAAHG1080115001,900073000100470,138,政府捕捉,1,犬,混種狗,白,三重區,x         ,AAAHG1080115001,AAAHG,新北市五股區公立動物之家,02-82925265,新北市五股區外寮路9-9號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/022bd565-69d0-4ede-8403-4439c7b63f04_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=80319&AcceptNum=AAAHG1080115001&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAAHG1080115001.jpg,2020/11/10,2020-10-23 15:45:24.177
17280,2,AAAIG1080114008,2019-01-14T00:00:00,2019-01,648,AAAIG1080114008,900073000224134,138,政府捕捉,1,犬,混種狗,黑,新莊區,公         ,AAAIG1080114008,AAAIG,新北市八里區公立動物之家,02-26194428,新北市八里區長坑里6鄰長坑道路36號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/2470d57f-721b-4e77-a096-40b2e5e77e21_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=80156&AcceptNum=AAAIG1080114008&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAAIG1080114008.jpg,2020/11/10,2020-10-23 15:45:24.400
17281,2,AAAIG1080114009,2019-01-14T00:00:00,2019-01,648,AAAIG1080114009,900073000224107,14,拾獲送交,1,犬,混種狗,黑,八里區,母         ,AAAIG1080114009,AAAIG,新北市八里區公立動物之家,02-26194428,新北市八里區長坑里6鄰長坑道路36號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/ebc60e90-4e98-414c-9de1-9dbd093a93b6_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=80158&AcceptNum=AAAIG1080114009&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAAIG1080114009.jpg,2020/11/10,2020-10-23 15:45:24.603
17282,2,W080114-01,2019-01-14T00:00:00,2019-01,648,W080114-01,,138,政府捕捉,1,犬,混種狗,黑白,仁德區,公         ,W080114-01,UAAAG,臺南市動物之家灣裡站,06-2964439,臺南市南區省躬里14鄰萬年路580巷92號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/42b144b5-42df-48e2-8431-22b0b88866fe_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=80203&AcceptNum=W080114-01&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\W080114-01.jpg,2020/11/10,2020-10-23 15:45:24.830
17283,2,108011404,2019-01-14T00:00:00,2019-01,648,108011404,,13,動物救援,1,犬,混種,黑,士林區,公         ,108011404,VAAAG,臺北市動物之家,02-87913254,臺北市內湖區潭美街852號,1/14急傷回(右前肢截肢手術(須拆線)),https://asms.coa.gov.tw/Amlapp/images/defaultSmall.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=80367&AcceptNum=108011404&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\108011404.jpg,2020/11/10,2020-10-23 15:45:24.950
17284,2,AAAHG1080113003,2019-01-13T00:00:00,2019-01,649,AAAHG1080113003,,138,政府捕捉,1,犬,混種狗,黑白,林口區,母         ,AAAHG1080113003,AAAHG,新北市五股區公立動物之家,02-82925265,新北市五股區外寮路9-9號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/43fb8247-8cc2-408b-a819-847e9af78280_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=80044&AcceptNum=AAAHG1080113003&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAAHG1080113003.jpg,2020/11/10,2020-10-23 15:45:25.250
17882,2,XAAAG1070404002,2018-03-19T00:00:00,2018-03,949,XAAAG1070404002,,138,政府捕捉,1,犬,混種狗,黑黃,莒光鄉,公         ,XAAAG1070404002,XAAAG,連江縣流浪犬收容中心,0836-25003,連江縣南竿鄉復興村(近機場),,https://asms.coa.gov.tw/Amlapp/Upload/Pic/c7378b01-dda9-4f26-8fcf-d1b9d54b752e_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=43162&AcceptNum=XAAAG1070404002&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\XAAAG1070404002.jpg,2020/11/04,2020-10-23 15:48:19.467
17883,2,107-E038D,2018-03-16T00:00:00,2018-03,952,107-E038D,990000001399540,138,政府捕捉,1,犬,混種,黑,土庫鎮,母         ,107-E038D,IAAAG,雲林縣流浪動物收容所,,,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/52c5c604-129d-4290-93df-a79e8ff9af91_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=39751&AcceptNum=107-E038D&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\107-E038D.jpg,2020/11/10,2020-10-23 15:48:19.673
